Id,SalePrice
1461,111172.659734
1462,155190.175237
1463,168357.088324
1464,185175.652692
1465,212183.957962
1466,179945.770113
1467,165539.522531
1468,173391.584884
1469,199362.090398
1470,109792.271014
1471,202025.790485
1472,119485.410261
1473,114597.94318
1474,165702.903424
1475,135025.377818
1476,355556.885814
1477,266291.476938
1478,308734.564119
1479,291493.692214
1480,409771.98563
1481,313655.022173
1482,228646.363277
1483,182915.082263
1484,185621.215736
1485,168615.453446
1486,211921.45229
1487,322849.732603
1488,268973.157965
1489,194079.811977
1490,194690.395589
1491,207208.925836
1492,105061.262241
1493,176603.188311
1494,298144.832679
1495,295943.617835
1496,216423.968401
1497,208730.358357
1498,170326.615017
1499,170326.615017
1500,156531.495785
1501,175511.038085
1502,158966.228718
1503,264552.072147
1504,244097.064332
1505,215735.427149
1506,202939.401721
1507,234532.720604
1508,194699.206932
1509,171759.39383
1510,147080.918174
1511,145415.467396
1512,163536.16819
1513,163608.797202
1514,151502.621253
1515,187641.3503
1516,158099.211697
1517,142298.000077
1518,165983.450532
1519,215202.040129
1520,128495.127528
1521,132729.422242
1522,178888.764557
1523,117730.561902
1524,117082.336977
1525,115393.160186
1526,117380.922686
1527,95614.9500268
1528,135206.121498
1529,140883.186131
1530,173975.020427
1531,115810.000516
1532,96393.1245944
1533,151907.319327
1534,133567.852475
1535,144278.060809
1536,119152.543154
1537,75027.8486474
1538,164484.879421
1539,170964.798224
1540,134367.308703
1541,145924.312709
1542,143259.453728
1543,186182.575934
1544,84052.5128033
1545,121972.317716
1546,133492.704146
1547,130646.126761
1548,143265.04625
1549,110980.400828
1550,139597.031725
1551,126021.552286
1552,137582.13766
1553,127537.291103
1554,126655.897968
1555,154723.483359
1556,110550.777195
1557,118434.764305
1558,111172.074558
1559,110494.059778
1560,136715.316734
1561,143722.657339
1562,111927.507562
1563,110877.644591
1564,160609.352675
1565,145551.518682
1566,204943.640366
1567,88286.7362713
1568,199748.189972
1569,111413.714458
1570,124021.563015
1571,120552.778679
1572,128896.485942
1573,225120.75412
1574,147296.42608
1575,207040.302933
1576,223744.182334
1577,194932.847015
1578,132868.827687
1579,134173.142464
1580,207344.261111
1581,125701.972674
1582,121429.075485
1583,304859.941359
1584,234420.751842
1585,141782.191114
1586,62962.7346647
1587,100186.408014
1588,134952.18945
1589,112777.28198
1590,141998.639289
1591,97032.3754414
1592,121928.520374
1593,122252.097214
1594,123718.167115
1595,127094.317376
1596,207890.315751
1597,174038.218445
1598,181470.131981
1599,187246.253256
1600,201681.871426
1601,56866.5457128
1602,116269.973331
1603,86266.1895628
1604,252953.059803
1605,268645.686588
1606,167064.615798
1607,216259.451096
1608,220968.744228
1609,193694.406437
1610,141810.630686
1611,145103.621283
1612,172967.193039
1613,164613.392821
1614,118463.013505
1615,96758.3316809
1616,96758.3316809
1617,104582.442934
1618,112255.318959
